contentname,filename,author,summary,timestamp,filesize,meta
Beras Besar (light ver.),berasbesar.zip,yohanes,"Diilhami dari game PACMAN, Kidi Ayam mencari makan berupa butiran beras, kalau sudah makan 100 biji atau 200 biji maka akan berubah menjadi KIDI PHOENIX selama beberapa waktu. Untuk jawab soal matematikanya : SENGGOL TERUS GAMBAR ?",,7 MB,
Bambo Bledhar,bledhar.zip,david,"Game ini fun dan bikin pinter. Ada acara ngebom dan strategi dorong batu.10 stage& 3 level. Bahasa Indonesia,Inggris,Jawa. Item pelebar bom,sepatu,dll.",,8 MB,
Botrayal 3D,botrayal.zip,dk-assoc,Game shooting 3D ini mengisahkan Colonel Sanders (robot) yang tiba-tiba diserang pasukannya sendiri. Adakah konspirasi? Game 3D seru ini harus kamu coba!,,114 MB,
Bubble and Trouble,bubbletrouble.zip,febryanp,Game petualangan action yang keren mengisahkan orang-orang tiba dikurung dalam sebuah gelembung. Dapatkah kamu dan Bumble menolong? Karya FebryanP yang keyen!,,8 MB,
Burung Matika,burungmatika.zip,richie,"Game action gerakkan burung merpati dengan mouse, hindari pohon dan elang. Klik kiri untuk bertelur di keranjang angka yang tepat. Berjuanglah Burungmatika!",,16 MB,
Campus Fighter Turbo,campusfighter.zip,dk-assoc,"Game Petarung Kampus adalah game tinju, untuk menunjukkan siapakah jagoan kampus terkuat. Ada 8 musuh yang akan merintangi anda. Jurus2 asyik!",,46 MB,
Magical Cangkul,cangkul.zip,dk-assoc,"Game bermain kartu cangkul / 'minuman' yang populer di Indonesia. Anda diikutsertakan dalam suatu turnamen melawan jagoan-jagoan yang ganteng dan cantik. Model mahasiswa/i dari Untar,Binus,IKJ. Bisakah anda melawan sang boss Reiza?",,11 MB,
Game Carpres 2014,capres2014.zip,david,"BARU!! Pilih capres favoritmu dan perjuangkan melawan capres lain. Makin cepat menjawab soal matematika 4+5+3=.... Capres makin LARI! Seru banget main game ini loh. ARB, Jokowi,Prabowo,Wiranto,Hatta Rajasa, dan Prof.Rhoma Irama siap anda pilih.",,44 MB,
Kartu 13 Capsa,capsa.zip,dk-assoc,Pernah main kartu Capsa Susun? Nah susunlah formasi kartu anda 3-5-5 dan kalahkanlah formasi kartu lawan! Seru!,,3 MB,
Cast Away,castaway.zip,dk-assoc,"Game bego cerita bercabang plus mini RPG fighting ini menceritakan Andre dan Huhu yang terdampar di suatu pulau asing, bertemu kanibal, peri, dan hal-hal aneh lainnya. Ringan dan Kocak!!!",,20 MB,
Catur Divinekids,catur.zip,david,"Game permainan yang sering kali dikenal dengan catur jawa : 3 X 3. Jika anda berhasil membuat tiga gambar segaris maka andalah pemenangnya. Bisa menurun, mendatar, atau diagonal.",,10 MB,
Catur Djawa Online,caturdjawa.zip,dk-assoc,"Tahu kan Catur Djawa? Nah kalo mau main secara online bersama-sama teman anda, anda bisa mendownload game ini. Anda juga bisa chatting sambil main game ini.",,9 MB,
Campus Girl Crysis,cgc.zip,dk-assoc,Mahasiswi-mahasiswi diculik!! Ray detektif sekolah ditugaskan Rektor untuk mencari mereka. Cerita bercabang dengan campuran action seru. Kamu harus coba!,,31 MB,
Cherry Days,cherrydays.zip,dk-assoc,"Game dating cerita bercabang yang banyak banget pilihan ceritanya! Ada video file untuk ending tertentu. Musik dari KISA group band. Game ok ini banyak pemeran,ekspresi per orang, cabang, movie. Terus diupdate.",,41 MB,
Mari Berhitung Ruang Bangun,ciciruangbangun.zip,david,"Game belajar menghitung Isi Prisma, Kerucut, Silinder, Bola, Kubus, dan lain-lain. Bermain sambil belajar yang menyenangkan. Kontrol : Keyboard ARAH dan Tombol Z. Membantu yang ujian UN.",,13 MB,
Crazy Fireworks,crazyfireworks.zip,dk-assoc,ANEH! Kembang Api tiba-tiba maunya meledak di bawah melukai orang. Jowy harus mencegah hal itu dengan pistolnya! Action Time!,,6 MB,
Cupid- Heart Diamond,cupid.zip,dk-assoc,Game shooting ini memberikan anda pilihan sebagai Mars atau Venus. anda harus membuat orang-orang BT jadi penuh cinta. Anda berpetualang ke seluruh dunia mencari Heart Diamond.,,28 MB,
Dadu Master SE,dadu.zip,david,"Game Pertaruhan Dadu Besar Kecil dengan jurus-jurus seperti : Scorpion Eye- mata tembus pandang dadu, Pendengaran Super, Gebrakan Dadu, dan banyak jurus lain. Bersipalah untuk tanding Final di Hongkong!",,15 MB,
The Adventure to Dark Kingdom,darkkingdom.zip,dk-assoc,"Jadilah pahlawan dengan menolong Putri Yellow yang ditawan di Dark Kingdom. Game ini memiliki banyak ending, banyak mini RPG, dan mini games. Cerita kocak!",,25 MB,
Daun Kehidupan,daunkehidupan.zip,dk-assoc,"Game petualangan ini mengisahkan anda sebagai kakak dari adik yang bernama Ilham. Ilham sedang sakit keras, dan hanya bisa diobati dengan Daun Kehidupan.....",,20 MB,
Deep Sea Battle,deepseabattle.zip,rudy,Peperangan dengan Dajjal di bawah laut dengan kapal selam tercanggih ciptaan Indonesia. Gerakkan dengan keyboard. Peluru arah W A S X. By: Rudy Y,,3 MB,
Dilarang Bolos Sekolah,dilarangbolossekolah.rar,madfal,Tahun 20xx Bolos sekolah di Sekolah Nusantara melakukan bolos massal. Maka KPK mengutus perwakilanKomisi Pemberantas Korupsi Sejak Dini. Game SERU dan full strategi !!!,,7 MB,
Dish Frenzy,dishfrenzy.zip,madfal,"Game makan-makan saat Ramadhan yang bikin greget. Bantu Vatin menghabiskan makanan dengan waktu tercepat. Help Vatin to eat fast, by pressing Z X C or drag the unhealthy food to trash.",,4 MB,
Divine Jets Beta,divinejet-beta.zip,david,Game pesawat dengan kendali mouse. Menembak tinggal klik saja dan arah gerak pesawat dari keluwesan anda menggerakan mouse. Lawan anda Gatot Kaca???,,3 MB,
Divinekids R,divinekidsr.zip,david,Game RPG yang sedang dikerjakan David Setiabudi. Doakan saja jadi. Programming sangat menantang. Resiko tidak jadi... ada...,,45 MB,
Divine Kids Strategy Frontier,dksf.zip,david,Game Strategi Multiplayer (1-4 pemain) ibarat main catur tapi pas fightnya seperti RPG. Kini anda bisa main VS dengan teman-teman anda. Atur strategi agar menang. Story Mode sedang ditambah stagenya biar okeh.,,80 MB,
Dunia Mewarnai Anak,dma.zip,david,Anak-anak akan diajak mewarnai gambar dengan berbagai macam palet warna. Hasilnya sang anak dapat mengeprint hasil karyanya. Cobalah berekperimen warna untuk pengetahuan yang kaya akan warna! Software bagus untuk sekolah-sekolah.,,2 MB,
Dunia Mewarnai Divinekids,duniamewarnaidk.zip,david,"Game mewarnai keren dimana kamu dapat belajar mewarnai, dan berani bereksperimen mencoba-coba menemukan kombinasi warna keren. Pilihan gambar yang lucu, kocak, manis, macam-macam!",,3 MB,
Echoes of Silence,echoes.zip,dk-assoc,Game tembak-tembakan ini mengisahkan seorang cewek cantik yang terdampar di suatu pulau dan disana banyak keganjilan yang harus diselidiki. Vampire Wanita penguasanya.,,103 MB,
En Garde (HP Nokia),engarde.zip,dk-assoc,"Game ksatria berpedang ini seru untuk dimainkan di handphone NOKIA 3650, 3660, 7650 (untuk seri lain belum kami coba). Kemungkinan N-Gage juga bisa.(ZIP jika dibuka ada 2 file).",,35 MB,
English Book 1,englishbook1.zip,ryugasia,Petualangan Belajar Bahasa Inggris ANEH dimulai saat kamu menemukan EB misterius di taman. Ujian di kelas terasa mudah. Misteri apa di balik semua ini? Karya Ryugasia.,,24 MB,
English Words,englishwords.zip,dk-assoc,"Asyik dan Keren! Pilih huruf dan susun seberapa banyak kata Bahasa Inggris yang kamu bisa buat. Makin panjang huruf makin tinggi skor, Awas jebakan-jebakan!",,8 MB,
Petualangan Eril,eril.zip,dk-assoc,"Seorang putri duyung bernama Eril menemukan 2 pangeran tenggelam, manakah yang dia tolong? Akan adakah penyihir bawah laut yang mengganggu?",,27 MB,
Escaping Castle,escapingcastle.zip,dk-assoc,"Game kumpulan dari mini game yang mengisahkan seorang putri yang hendak kabur dari cengkraman penyihir. Ada game menghafal, mencari jalan, dan lain-lainnya. Grafik menarik.",,20 MB,
Farmonster,farmonster.zip,david,"Kamu adalah peternak yang terpisah dengan orang tua karena peperangan. Modalmu 1 tanah kosong dan Rp 30. Jual beli, pemeliharaan hewan penting. Eits! Jangan sampai Monster Prockok Zolimist memakan hewan ternak anda!",,10 MB,
Flippo,flippo.zip,farhan,"Jagoan bernama Flippo ini harus merebut Kristal-Kristal yang digunakan organisasi jahat. Game dari Farhan Alfaizi, semester pertama di 2D Game Research Surya University!",,20 MB,
Forestia,forestia.zip,madfal,"Aksi penebang hutan menggila, bahkan sampai pohon langka pun mau ditebang. FORESTIA mengisahkan pejuang pelindung bumi ini melawan serbuan para penebang liar dan mesin Tank Penghancur!",,9 MB,
Frixia,frixa.zip,dk-assoc,"Selagi main game tiba-tiba Iru tersedot ke dalam game Frixa, untuk kembali ke dunianya, Iru berjuang melawan Omega. Main game ini dengan klik titik merah saat ANIMASI FIGHTING. Selain itu game gerakkan jagoan dengan mouse.",,75 MB,
Fun Fun Study,funfunstudy.zip,dk-assoc,"Kamu seorang fotografer handal yang ditugaskan memotret di hutan. Kalau kamu ditugaskan potret harimau, ya potretlah harimau. Orderan umumnya bahasa Indonesia, jarang Inggris atau Mandarin.Bisa?",,20 MB,
Galactic Battle,galacticbattle.zip,jonathan,Game sederhana tentang pesawat antariksa JOHNGUN melawan kapal alien cukup asyik dimainkan. Karya pertama dari Jonathan Gunawan - Surya University!,,8 MB,
Gameku Sendiri,gameku.zip,david,"Impian anak-anak bisa GAMPANG membuat game terwujud. Coba pakai software gratis GAMEKU SENDIRI ini. Buat 8 karakternya sendiri, atur daya serang, kecepatan,dll Anak-anak pasti suka!",,21 MB,
Game SBY Anti Koruptor,gamesby.zip,david,Game Kampanye Pertama Indonesia yang dibuat Februari 2009 untuk mendukung Bapak Presiden SBY. Game ini boleh didownload jika anda berusia 21 tahun keatas/ usia pencontreng. Password : sbyok,,6 MB,
Game Strategiku,gamestrategiku.zip,david,"Buatlah game strategimu sendiri, dengan karakter-karaktermu sendiri. Asal bisa memakai Notepad, PAINT (sebaiknya Photoshop), kayaknya lucu kalau jagoannya foto kamu dan teman kamu.",,10 MB,
Garuda Jetz v1.25,garudajetz.zip,david,Game 5 Pesawat yang bisa dipilih dan bisa diupgrade variasi tembakannya. Dilindungi Garuda Bahasa Indonesia dan Inggris. 10 stage.Pilih download salah satu.,,18 MB,
Matematika Gasing Poxie Terbang,gasingpoxieterbang.zip,yohanes,"Game petualangan Poxie Musang terbang sambil menjawab soal-soal matematika, dihadang musuh. Mainnya cukup tap atas layar atau tap bawah layar untuk NAIK TURUN.",,10 MB,
Gatot Kaca 2159,gatotkaca2159.zip,rizky,"Gatot Kaca lawan mesin robot yang menguasai bumi tahun 2159, manusia sudah tidak berdaya lagi. Kiriman dari Muhammad Rizky Abdul Hakim",,3 MB,
Ghost In Campus,gic.zip,dk-assoc,Game horror seram. 5 Mahasiswa bermain Jailangkung lenyap tak berbekas. Kamu sedang di sana waktu itu. Apakah yang akan terjadi padamu?,,20 MB,
Hadapi UN,hadapiun.zip,basil,Mau hadapi Ujian Nasional? Yakin lulus? Mainkan game ini dulu biar kamu lebih yakin nantinya lulus UN atau tidak :) Seru dan Asyik! Buatan Basil Team yang okeh!,,35 MB,
Berhitung Keren DK,hitung.zip,david,"Game belajar menghitung penjumlahan, pengurangan,dll. Ada sistem rapor dan kenaikan kelas. Jika anda mendapat nilai jelek ya siap-siap aja dimangsa oleh BAMBODINO yang bergigi tajam!!! Grauwww!!!",,11 MB,
Indonesia Merdeka,indonesiamerdeka17an.apk,lioncat,"Game untuk Android Tablet ini isinya BANYAK MINI GAME mulai dari Loncat Karung, Tarik Tambang, Lempar Kelereng,dll Lomba untuk peringatan kemerdekaan Indonesia.",,13 MB,
Indorace (Demo),indorace.zip,dk-assoc,"Game balapan Becak Medan,dll ini buatan SNEMA dari Medan! Versi demo=2 stage gratis. Jika ada pertanyaan/ ingin beli versi fullnya: agamong@gmail.com Transaksi beli versi full diluar tanggung jawab DIVINEKIDS! Divinekids tidak mendapat Rp.",,38 MB,
Jaran DivineKids Menyamakan Bentuk,jaran.zip,david,"Game mencari persamaan bentuk dan warna dalam gaya pacuan kuda. Ada level gampang, normal dan edan. 3 stage area yang seru. Anda bisa jadi jagoan di game ini, baca Photo to Game!!!",,10 MB,
Petualangan Jojo Jeje,jojojeje.zip,dk-assoc,"Kumpulan mini game lucu dimana Jojo mau bertemu pacarnya Jeje di pulau seberang. Dia harus melewati beberapa pulau. Ada tantangan menghafal urutan gambar, angka, kelincahan menghindar,dll!",,16 MB,
The Princess Kaguya,kaguya.zip,dk-assoc,Game Cerita Bercabang ini memiliki cerita menarik dan banyak pilihan ending. Ada mini game Cari 5 beda.Buat Jepang mania ini pasti menyenangkan!,,11 MB,
Kamera Terkutuk,kameraterkutuk.zip,dk-assoc,Anda mendapat sebuah kamera yang ternyata dapat memotret hantu. Hantu yang anda potret tersebut menghantui anda. Sebuah game shooting yang sangat seram. Anda harus main!,,27 MB,
Kapten Pembasmi,kaptenpembasmi.zip,raphin,"Bumi diserang oleh Makhluk-makhluk aneh, Kapten Pembasmi datang menolong. Lawan memberi sogokan kepada Kapten Pembasmi agar berkhianat melawan bumi. Apa yang ditawarkan Makhluk tsb? Karya Raphin - semester pertama di 2D Game Research Surya University.",,18 MB,
Kidi Ketapel (ver 1.20),kidiketapel.zip,david,"Petualangan Kidi Ayam melawan Geng Anjing Perokok dengan ketapelnya. Seru, kocak, dan nyolot (untuk para perokok).",,10 MB,
Kartu Kembar DK Alpha,kkdkalpha.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan suasana pagi yang santai, malam yang indah, dll. Permainan standar yang cocok untuk rileks.",,23 MB,
Kartu Kembar DK Multi Bahasa,kkdkmbhs.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan jurus untuk melawan gangguan musuh : penukar kartu, jurus penyerang,dll. 5 bahasa: Indonesia,Inggris, Mandarin, Jawa, Palembang!!!",,26 MB,
Kartu Kembar Variasi,kkdkvariasi.zip,david,"Game permainan mencari pasangan kartu yang kembar dengan banyak pilihan kategori, foto-foto, angka, warna, gambar, dll Sangat bagus untuk melatih ingatan anda. Ada orang yang kuat menghafal warna, ada yang kuat mengahafal bentuk.",,4 MB,
Knight Legend,knightlegend.zip,raypaulus,"Appolos menjadi murid seorang pendekar terkenal GOLDIUS, mereka mencari harta yang dijaga para monster. Appolos belajar jurus, dan mencari baju zirah, dia bisa ganti baju dan jurus. Lawan berbagai macam boss- petualangan panjang & seru.",,20 MB,
Koki Nusantara,kokinusantara.zip,marshallina,"Game cara memasak masakan Indonesia, apa saja bumbunya, cara memasaknya bagaimana, dilengkapi video cara memasak yang menarik. Diajari cara memotong, memilih bumbu, dsb.",,21 MB,
Kuis Kata DK,kuis.zip,david,"Game menebak kata yang tersembunyi. Anda pilih huruf apa yang kira-kira ada di layar. Jika tepat maka tampil, jika salah maka kesempatan berkurang. Anda bisa pakai koin tambah 1 atau 2 kesempatan.",,5 MB,
Kuis 7 Miliar Rupiah / 7 Billion Quiz,kuis7m.zip,david,"Game kocak menjawab pertanyaan dan dapatkan 7 Miliar Rupiah! (kalo sial malah dapat HUTANG 2 Miliar). Gileee!!! Ada QUIZ EDITTOR, jika mau membuat soal untuk game ini. Buat sendiri, dan test temanmu!",,14 MB,
The Lost Village,lostvillage.zip,dk-assoc,"Saat medali aneh yang anda temukan pecah, anda masuk ke sebuah desa yang hilang. Disana dihuni banyak hantu, ada Kolor Ijo, dll yang memberi tebak-tebakan. Salah jawab=mati !",,16 MB,
Love Diamond,lovediamond.zip,dk-assoc,Game Cerita Bercabang menarik ala negeri 1001 malam ini bercerita tentang pemuda bernama Sultan hendak meminang putri Raja.Apakah anda seorang yang bijak? Banyak tes psikologi dan kebijaksanaan di game ini.,,29 MB,
Love Journey,lovej.zip,dk-assoc,"Anda akan dihadapkan dengan 3 cewek cantik, bagaimana cara anda menaklukkan pujaan hati anda? Belajar pacaran ? 13 tahun keatas please.",,17 MB,
The Adventure of Xiao Lu,lu.zip,enygmus,"Pengumuman dari Raja Wei tentang kompetisi memperebutkan tahta Raja membuat Xiao Lu berambisi banyak jurus ELEMENTAL. Game Ini KEREN, tapi ukurannya GEDE banget!",,359 MB,
Mangkok Cepat DK / Quick Bowl DK,mangkokdk.zip,david,"Satu koin diletakkan diantara 3 mangkok, dan digerakkan secara cepat. Nah kemudian cari mangkok mana yang ada koinnya tadi. Sejauh mana kemampuan mata dan konsentrasi gabungan anda. Pembuat game ini dapat sampai Level Normal 15 !!!",,2 MB,
Marathon,marathon.zip,david,"Empat orang pemain bisa diatur orang/komputer berlomba menuju ke garis finish, tetapi banyak monsternya. Kamu juga punya jebakan iseng untuk memperlambat teman kamu: ranjau dan penjara angka. Kocak!",,15 MB,
Math Curse,mathcurse.swf,synergear,"Monster-monster menyerbu Abyis, sebuah kota yang cinta MATEMATIKA., yang disihir agar BENCI MATEMATIKA. Niko pendekar kebenaran harus melakukan sesuatu!",,3 MB,
Mobil Balap Ketik,mbk.zip,dk-assoc,"Semakin anda mengetik cepat semakin cepat mobil anda. Game ini membantu anda berlatih mengetik 10 jari agar menjadi lebih seru. Cocok juga untuk sekolah SMP, SMA. Ada pencatatan waktu 3 terbaik.",,704 KB,
Journel of Medi,medi.zip,pixelategroup,"Kamu adalah OBAT MENCRET bernama MEDI ( :D Wakakak), permainannya adalah keterampilan kamu geser-geser mouse sampai tuh anak ga mencret/ diare.by Pixelategroup anggota DK Associates.",,10 MB,
Mesias / Messiah,mesias.zip,david,"Game 40 Mb Real Time strategy tentang Yesus dan murid-muridnya menyembuhkan orang buta, lumpuh, mengusir Iblis, membangkitkan orang mati.",,38 MB,
Misi Besar Divine Edu,misibesar.zip,david,"Game terbang petualang ini memiliki 3 pilihan jagoan untuk melakukan misi besar. Dunia dinosaurus, listrik,gua alien, dll menanti anda. Bahasa Indonesia, Inggris. Kendali dengan mouse& klik tembak.+ sedikit tes matematika& bahasa.",,39 MB,
Mo's Day Out,mo.zip,dk-assoc,Game campuran ketelitian mata dan cerita bercabang ini menggunakan bahasa Inggris yang baik dan benar. Baca text yang ada dengan keras sambil main game. Ikuti petualangan Mo menjadi manusia kerdil.,,7 MB,
Mobil Negbut!,mobilkebut.zip,dk-assoc,"Game balap rintangan ini diadakan di Bali & Padang. Kendalai mobil balap ini dengan menggunakan mouse. Klik kiri untuk gas, klik kanan untuk BOOSTER NITRO.",,40 MB,
The Adventure of Momoko,momoko.zip,dk-assoc,"Game ini mengisahkan cewek Momoko (versi cewek legenda Jepang Momotaro) melawan Raja Iblis. Game RPG, Quiz, Sport, dll. Dijamin SERU!!!",,74 MB,
Monster Jahat Buster,monster.zip,david,"Game tembak monster yang melintasi daerah anda, klik kanan untuk isi peluru anda! Kalau anda berhasil akan dapat pujian, kalau gagal.... Temui monster-monster yang aneh!",,7 MB,
Mozzy Mizzy,mozzymizzy.zip,dk-assoc,Mozzy ingin membuktikan cintanya kepada Mizzy. Mizzy meminta bukti kesungguhan cinta tiga buah mutiara cantik.,,51 MB,
Misteri Raja Pocong,mrpocong.zip,david,"Game arcade petualangan melawan pocong narkoba, anarkis,koruptor,dll ini memiliki animasi 3 bahasa:Ind,Ing,Jawa. Kontrol keyboard atau gamepad. Tiap menang lawan 1 boss pocong dapat jurus baru. Final boss:Kumantho pemakan mayat! Indosiar,SCTV,Trans7,TPI,d",,40 MB,
Nevanoid 1 New,n1botr.zip,raditya,"Ras Ghoulvoid tersebut mencoba menguasai dunia. Nevan dan kakaknya menghentikannya... Versi baru Nevanoid. Karya Raditya Tyan Ryugasia, anggota Divinekids yang aktif.",,49 MB,
Nama Hewan 3 Bahasa,namahewan3bahasa.zip,dk-assoc,"Mengenal nama hewan lucu dalam 3 bahasa : Indonesia, Inggris, Mandarin. Ada permainannya juga yang menarik untuk anak-anak. Klik tulisannya maka dibaca Mandarin & Inggrisnya.",,13 MB,
The Nanny,nanny.zip,dk-assoc,"Game merawat bayi. Bayi perlu diganti popoknya, diberi minum susu, diajak main, dimandikan,dll. Jangan sampai ada salah nanti dia menangis!",,21 MB,
Nasi Tumpeng Presiden,nasitumpengpresiden.zip,dk-assoc,Game suit Capres vs Capres dan Cawapres vs Cawapres. Setiap suit dihitung REKAPITULASI nya. Wah..wah... suit memperbutkan Nasi Tumpeng PRESIDEN.,,8 MB,
Nevanoid,nevanoid.zip,raditya,RPG Ras Ghoulvoid tersebut mencoba merekrut keluarga Thunrecrush untuk membantu mereka dalam rencana menguasai dunia. Nevan dan kakaknya menghentikannya... Karya keren : Raditya Tyan.,,57 MB,
Ngoceh Indonesia,ngoceh.zip,david,"Text to speech PLUS GAME Speak : Indonesia - Jawa Kocak Buanget! Ubah SEMUA ketikan anda jadi suara, asal bahasa Indonesia atau Jawa. SEMUA bisa main, jg sangat berguna : tunawicara& tunanetra.",,79 MB,
Pai Che Lo,paichelo.zip,dk-assoc,"Anda adalah seorang kaisar yang hendak mencari istri dari berbagai macam dunia. Ada yang dari Jepang, India, Afrika,Inggris. Masing-masing ada kisahnya sendiri.",,68 MB,
Panco Master,panco.zip,dk-assoc,Tahun 2089 - ada sebuah trend dimana siapa yang paling kuat dalam PANCO dialah yang menjadi ketua di daerah tersebut.Ingin menang Panco? KETIK KATA dengan cepat dan benar.,,48 MB,
Bilangan Pecahan Fraction Survival,pecahanfractions.zip,david,"Game untuk para murid dan guru agar bisa bermain sambil belajar BILANGAN PECAHAN. Plus, Minus, Kali, Bagi. Cuma orang keren bisa sampe LV 99.",,4 MB,
Pejuang Indonesia,pejuang.zip,dk-assoc,"Game RPG, kamu berjuang bersama-sama Ir. Soekarno ke Surabaya. Bung Tomo menunggu disana. Belajar sejarah sambil main game. Seru! Ciptaan pelajar kreatif : Galih Sensai !",,134 MB,
Pemburu Jahat,pemburujahat.zip,dk-assoc,"Dalam game tembak-tembakan kacau ini, anda berperan sebagai pemburu hewan-hewan langka. Anda menembaki panda, burung langka, panther, dll. Akankah sang pemburu ditangkap?",,46 MB,
Pemburu Pocong,pemburupocong.zip,dk-assoc,Lindungi orang yang sedang semadi di tengah kuburan agar jangan sampai terkena samber Pocong. Ketangkasan anda dalam menembak menentukan nasib sang petapa.,,399 KB,
Pemburu Tikus,pemburutikus.zip,dk-assoc,"Pemburu Tikus, Game ini adalah game shooting sederhana dengan desain yang cukup menarik. Skor anda akan dicatat secara online.",,2 MB,
Game Pemilu 2004,pemilu2004.zip,david,"Game mencari kartu kembar dengan bendera-bendera partai Pemilu 2004.Tidak ada tujuan kampanye satu/lebih partai. Game ini membantu anda menghafal nama partai, dan mengetahui lambang partai.",,9 MB,
Game Pemilu 2009,pemilu2009.zip,david,"Game satu ini mengajak anda bermain asyik bersama simbol-simbol partai Pemilu 2009. Game ini mengajak anda agar hafal nama dan simbol Partai dengan mencari ala Kartu Kembar. Ada 16, 24, 32 kartu pilihan. Rahasia: 72 kartu???",,8 MB,
Pentung Bambo (HP Nokia),pentungbambo.zip,dk-assoc,"Game pentung Bambo ini game hp berkarakter Divinekids yang pertama. Suara teriakan lucu. seru untuk dimainkan di handphone NOKIA 3650, 3660, 7650 (seri lain belum kami coba). Kemungkinan N-Gage juga bisa.",,213 KB,
Petualangan Divinekids,petdivine.zip,david,"Game RPG petualangan Abe,Bambo,Cici melawan penyihir gelap Indra yang akan membangkitkan Iblis 1000 tahun. Cerita menarik, petempuran seru, animasi dengan bahasa Indonesia, asyik dimainkan.",,32 MB,
Pomme,pomme.zip,dk-assoc,Selamatkan bumi dari Alien yang benci manusia penyebab Global Warming. Ada 2 tipe game unik dalam 1 judul ini. Klik animasi cari solusi dan Petualangan dengan arah keyboard berubah-ubah. Coba!,,60 MB,
PRIMA: Anti Terror & Begal,prima.zip,ivan,Game SIMPLE RPG ini mengisahkan tentang keanehan kemunculan PARA BEGAL di banyak kota dalam waktu bersamaan. Adakah kekuasaan yang menggerakan mereka? Politik? Militer?,,62 MB,
